filename,predicted_label,predicted_tag,confidence
0577a43c6313158ef8250f264fd6c5aeab4a50cdd8e7468eb770ca2d4a1f327a.jpg,unknown,unknown,0.0875
05909a39ed2d84f83797a82895e6076677ca2291611724f8d762d5ace7207a26.jpg,unknown,unknown,0.2407
05bbd61f1a56d46d7ec8bfacbc3da43116bed243b80dbe5d9211f2995a890912.jpg,Fubuki from Blue Archive,Blue_Archive_Fubuki,0.3967
05c7dfa0dda2e336df81ffe58cb5d3fbec79d8754279fcd20caa233248365724.jpg,unknown,unknown,0.1555
064421077476def4bec6f21bd54c374ef151dd962ef849001e4099b14c60a8c9.jpg,Hifumi from Blue Archive,Blue_Archive_Hifumi,0.4731
067dc2162c42a1a8a42bfe7d6b1546cf51d0bfdcfe6753252f62745cb90ed770.jpg,unknown,unknown,0.0445
06941e6825f19ec773af4236674b06a08ee7208c94145f6057909f34d57c4ba8.jpg,unknown,unknown,0.2385
06a8ad81cec1eb7af504a6c6eae6a28e596e8bd7dbb043f9b50948bd104a2af8.jpg,unknown,unknown,0.192
07246e69153329dcb98e2bb692e25bed76431772550aac622390188846a492aa.jpg,unknown,unknown,0.0785
0743d7ca4b58f2f5a7a86d427c77d6a0b47944ad644a3580d6eb74dd41cf0f50.jpg,unknown,unknown,0.1825
07612c8f28dff7a6c61dd2eeda9ad349445e3eb5c1f92d5db2b7508fcb0f28a5.jpg,Sumire from Blue Archive,Blue_Archive_Sumire,0.3116
0762bd27e5c810b3bd8db200343f2ab877beddad4f5361ad5b7e8cf261b9213f.jpg,unknown,unknown,0.0754
0764a3f3e87f0a16dbc22c29c422fdc77c9e897ae1dadde63adc53bf55b28e70.jpg,Ako from Blue Archive,Blue_Archive_Ako,0.3112
0769c8fc1c5c72a974f6ea94297ac38b33ab0d3f8f34d349384f2311d576736a.jpg,unknown,unknown,0.1559
0792e726340d1204b9793edbc69add5b1fe4c921d231304d421c6316d64c66e1.jpg,unknown,unknown,0.1217
07a5ca483d4f22ee50c2023bd4386d6eba3f7a1a8fb1d68a0a4e525f6f9928ae.jpg,unknown,unknown,0.2739
07aecb4d97a47323f4722e0cfafebf6cc6ab607c7357439f51ca605baab2e51e.jpg,unknown,unknown,0.0802
07cd86ef8b82d88538edec63166e0e014330a99f5634eb9b13892447496aa686.jpg,unknown,unknown,0.2914
07d832de2c861c096749acb1144d608338e661c04586f48930f97666c32ca54f.jpg,unknown,unknown,0.1247
